1  | vijay    | chennai     | saaho        | pune         | Delivered
2  | saaho    | telangana   | saaho        | andhra       | Delivered
3  | viraj    | nagpur      | saaho        | karnataka    | Booked
4  | arjun    | hyderabad   | bahubali     | chennai      | Delivered
5  | rahul    | mumbai      | kgf          | bengaluru    | Booked
6  | anil     | delhi       | pushpa       | hyderabad    | Cancelled
7  | karthik  | mysore      | rrr          | chennai      | Delivered
8  | rohit    | pune        | leo          | mumbai       | Booked
9  | naveen   | vizag       | salaar       | nagpur       | Delivered
10 | sandeep  | warangal    | vikram       | pune         | Cancelled
11 | mahesh   | vijayawada  | jailer       | hyderabad    | Delivered
12 | ajay     | surat       | kantara      | mysore       | Booked
13 | deepak   | indore      | kgf          | bhopal       | Delivered
14 | rakesh   | bhopal      | pushpa       | delhi        | Booked
15 | tarun    | noida       | bahubali     | lucknow      | Delivered
16 | vinay    | kolkata     | saaho        | ranchi       | Cancelled
17 | aravind  | kochi       | rrr          | trivandrum   | Delivered
18 | manoj    | madurai     | vikram       | chennai      | Booked
19 | harish   | hubli       | leo          | belgaum      | Delivered
20 | santosh  | goa         | kantara      | mangalore    | Booked
21 | praveen  | pune        | salaar       | mumbai       | Delivered
22 | bharath  | tirupati    | pushpa       | nellore      | Cancelled
23 | kishore  | nagpur      | kgf          | pune         | Delivered
24 | srikanth | hyderabad   | jailer       | warangal     | Booked
25 | lokesh   | mysore      | vikram       | bengaluru    | Delivered
26 | akash    | delhi       | bahubali     | jaipur       | Booked
27 | gopi     | vizag       | leo          | hyderabad    | Delivered
28 | rajesh   | chennai     | rrr          | coimbatore   | Cancelled
29 | vivek    | mumbai      | salaar       | pune         | Delivered
30 | naresh   | warangal    | saaho        | karimnagar   | Booked
31 | shiva    | bengaluru   | kantara      | mysore       | Delivered
32 | uday     | hubli       | kgf          | belgaum      | Booked
33 | arun     | kolkata     | pushpa       | patna        | Delivered
34 | teja     | tirupati    | vikram       | chennai      | Cancelled
35 | dhanush  | madurai     | jailer       | trichy       | Delivered
36 | pavan    | hyderabad   | leo          | vijayawada   | Booked
37 | satish   | nagpur      | bahubali     | pune         | Delivered
38 | varun    | kochi       | salaar       | ernakulam    | Booked
39 | chandu   | surat       | rrr          | ahmedabad    | Delivered
40 | nikhil   | noida       | pushpa       | gurgaon      | Cancelled
